tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
529,48:20.7,57:10.4,3185,City Hall,40.7177325,-74.043845,3184,Paulus Hook,40.7141454,-74.0335519,29277,Subscriber,1976,1
917,48:55.2,04:12.2,3212,Christ Hospital,40.73478582,-74.05044364,3211,Newark Ave,40.72152515,-74.04630454,29659,Subscriber,1987,1
1444,48:58.0,13:02.1,3186,Grove St PATH,40.71958612,-74.04311746,3269,Brunswick & 6th,40.72601173,-74.05038893,42397,Subscriber,1992,1
262,50:34.6,54:56.9,3186,Grove St PATH,40.71958612,-74.04311746,3681,Grand St,40.71517768,-74.03768331,42334,Subscriber,1979,1
370,52:01.5,58:11.5,3194,McGinley Square,40.72533993,-74.06762213,3193,Lincoln Park,40.7246051,-74.07840595,42327,Subscriber,1991,2
492,52:55.7,01:07.8,3640,Journal Square,40.73367,-74.0625,3210,Pershing Field,40.74267714,-74.05178863,42222,Subscriber,1995,2
1774,54:47.9,24:22.3,3639,Harborside,40.7192517,-74.034234,3639,Harborside,40.7192517,-74.034234,26307,Subscriber,1991,1
643,54:55.2,05:38.3,3213,Van Vorst Park,40.71848892,-74.04772663,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42135,Subscriber,1981,1
897,55:50.3,10:48.2,3639,Harborside,40.7192517,-74.034234,3192,Liberty Light Rail,40.7112423,-74.0557013,42269,Subscriber,1971,2
282,56:10.7,00:52.8,3186,Grove St PATH,40.71958612,-74.04311746,3211,Newark Ave,40.72152515,-74.04630454,42498,Subscriber,1981,1
178,56:46.5,59:44.9,3195,Sip Ave,40.7308971,-74.06391263,3194,McGinley Square,40.72533993,-74.06762213,42480,Subscriber,1988,1
368,58:00.4,04:08.9,3640,Journal Square,40.73367,-74.0625,3210,Pershing Field,40.74267714,-74.05178863,26300,Subscriber,1990,1
414,00:16.5,07:11.4,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,42289,Subscriber,1978,1
620,00:28.7,10:49.6,3186,Grove St PATH,40.71958612,-74.04311746,3211,Newark Ave,40.72152515,-74.04630454,42488,Subscriber,1981,1
671,00:38.3,11:49.8,3211,Newark Ave,40.72152515,-74.04630454,3272,Jersey & 3rd,40.72333159,-74.04595256,29506,Subscriber,1989,2
240,01:00.6,05:00.8,3639,Harborside,40.7192517,-74.034234,3202,Newport PATH,40.7272235,-74.0337589,26283,Subscriber,1987,2
493,02:50.5,11:04.2,3273,Manila & 1st,40.72165072,-74.04288411,3481,York St,40.71649,-74.04105,42125,Subscriber,1970,1
135,03:40.8,05:56.0,3275,Columbus Drive,40.7183552,-74.03891444,3681,Grand St,40.71517768,-74.03768331,42114,Subscriber,1979,1
745,05:41.2,18:06.5,3639,Harborside,40.7192517,-74.034234,3483,Montgomery St,40.71942,-74.05099,42217,Subscriber,1986,1
247,05:56.6,10:03.9,3639,Harborside,40.7192517,-74.034234,3202,Newport PATH,40.7272235,-74.0337589,42178,Subscriber,1964,1
385,09:16.9,15:42.1,3275,Columbus Drive,40.7183552,-74.03891444,3202,Newport PATH,40.7272235,-74.0337589,42285,Subscriber,1982,2
211,09:17.6,12:48.8,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,29448,Subscriber,1989,1
208,09:22.9,12:51.0,3269,Brunswick & 6th,40.72601173,-74.05038893,3211,Newark Ave,40.72152515,-74.04630454,42153,Subscriber,1987,1
660,09:24.1,20:24.4,3186,Grove St PATH,40.71958612,-74.04311746,3211,Newark Ave,40.72152515,-74.04630454,42500,Subscriber,1983,1
368,09:33.7,15:42.4,3275,Columbus Drive,40.7183552,-74.03891444,3202,Newport PATH,40.7272235,-74.0337589,42411,Subscriber,1982,1
400,09:41.9,16:22.1,3273,Manila & 1st,40.72165072,-74.04288411,3199,Newport Pkwy,40.7287448,-74.0321082,42130,Subscriber,1978,1
303,09:42.1,14:45.7,3279,Dixon Mills,40.72163014,-74.04996783,3187,Warren St,40.7211236,-74.03805095,42375,Subscriber,1989,2
220,10:53.6,14:34.4,3186,Grove St PATH,40.71958612,-74.04311746,3211,Newark Ave,40.72152515,-74.04630454,42289,Subscriber,1977,1
304,10:56.9,16:01.0,3272,Jersey & 3rd,40.72333159,-74.04595256,3213,Van Vorst Park,40.71848892,-74.04772663,29290,Subscriber,1971,2
211,11:05.1,14:36.2,3186,Grove St PATH,40.71958612,-74.04311746,3481,York St,40.71649,-74.04105,42493,Subscriber,1987,2
372,12:05.7,18:18.0,3640,Journal Square,40.73367,-74.0625,3210,Pershing Field,40.74267714,-74.05178863,29201,Subscriber,1992,1
205,13:43.2,17:09.0,3267,Morris Canal,40.71241882,-74.03852552,3184,Paulus Hook,40.7141454,-74.0335519,29624,Subscriber,1981,0
421,15:39.8,22:41.4,3639,Harborside,40.7192517,-74.034234,3205,JC Medical Center,40.71653978,-74.04963791,42180,Subscriber,1982,2
195,17:36.9,20:52.7,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,42471,Subscriber,1981,1
459,18:23.6,26:02.9,3186,Grove St PATH,40.71958612,-74.04311746,3273,Manila & 1st,40.72165072,-74.04288411,42391,Subscriber,1956,2
567,18:36.8,28:04.4,3278,Monmouth and 6th,40.72568548,-74.04879034,3212,Christ Hospital,40.73478582,-74.05044364,42313,Subscriber,1984,1
204,19:03.1,22:27.7,3273,Manila & 1st,40.72165072,-74.04288411,3278,Monmouth and 6th,40.72568548,-74.04879034,26274,Subscriber,1981,2
464,20:25.5,28:10.4,3184,Paulus Hook,40.7141454,-74.0335519,3267,Morris Canal,40.71241882,-74.03852552,29624,Subscriber,1990,1
828,20:56.0,34:44.9,3199,Newport Pkwy,40.7287448,-74.0321082,3213,Van Vorst Park,40.71848892,-74.04772663,42255,Subscriber,1993,1
279,21:26.2,26:05.5,3203,Hamilton Park,40.72759597,-74.04424731,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,29569,Subscriber,1994,2
