tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
229,07:41.8,11:31.6,3195,Sip Ave,40.7308971,-74.06391263,3194,McGinley Square,40.72533993,-74.06762213,29214,Subscriber,1992,1
212,07:49.3,11:21.7,3193,Lincoln Park,40.7246051,-74.07840595,3677,Glenwood Ave,40.72755147,-74.07106072,26215,Subscriber,1978,1
777,08:04.3,21:01.4,3186,Grove St PATH,40.71958612,-74.04311746,3194,McGinley Square,40.72533993,-74.06762213,29487,Subscriber,1981,1
390,08:55.8,15:26.5,3186,Grove St PATH,40.71958612,-74.04311746,3269,Brunswick & 6th,40.72601173,-74.05038893,26162,Subscriber,1969,1
505,09:53.5,18:19.0,3639,Harborside,40.7192517,-74.034234,3186,Grove St PATH,40.71958612,-74.04311746,29279,Subscriber,1996,2
474,10:10.5,18:05.1,3639,Harborside,40.7192517,-74.034234,3186,Grove St PATH,40.71958612,-74.04311746,29454,Subscriber,1962,2
195,10:15.7,13:31.5,3273,Manila & 1st,40.72165072,-74.04288411,3270,Jersey & 6th St,40.72528911,-74.04557168,29462,Subscriber,1964,1
156,11:18.3,13:54.8,3681,Grand St,40.71517768,-74.03768331,3276,Marin Light Rail,40.71458404,-74.04281706,29489,Subscriber,1982,1
208,11:45.0,15:13.8,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,29654,Subscriber,1985,1
454,12:25.5,20:00.4,3267,Morris Canal,40.71241882,-74.03852552,3186,Grove St PATH,40.71958612,-74.04311746,26156,Subscriber,1994,2
599,13:13.4,23:12.4,3202,Newport PATH,40.7272235,-74.0337589,3270,Jersey & 6th St,40.72528911,-74.04557168,29307,Customer,1980,1
168,13:23.0,16:11.2,3186,Grove St PATH,40.71958612,-74.04311746,3270,Jersey & 6th St,40.72528911,-74.04557168,29537,Subscriber,1970,1
72,13:30.2,14:42.5,3678,Fairmount Ave,40.72572614,-74.07195926,3677,Glenwood Ave,40.72755147,-74.07106072,29447,Subscriber,1978,1
886,16:11.7,30:58.7,3199,Newport Pkwy,40.7287448,-74.0321082,3209,Brunswick St,40.7241765,-74.0506564,26160,Subscriber,1989,2
1324,17:37.1,39:41.4,3202,Newport PATH,40.7272235,-74.0337589,3210,Pershing Field,40.74267714,-74.05178863,29289,Subscriber,1990,1
736,19:08.8,31:25.3,3195,Sip Ave,40.7308971,-74.06391263,3191,Union St,40.7182113,-74.0836394,29122,Subscriber,1977,1
204,20:23.4,23:47.7,3211,Newark Ave,40.72152515,-74.04630454,3205,JC Medical Center,40.71653978,-74.04963791,29235,Subscriber,1975,1
268,20:40.2,25:09.1,3192,Liberty Light Rail,40.7112423,-74.0557013,3268,Lafayette Park,40.71346383,-74.06285852,29527,Subscriber,1986,1
91,21:40.7,23:12.6,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,26216,Subscriber,1987,1
218,21:52.6,25:30.8,3275,Columbus Drive,40.7183552,-74.03891444,3267,Morris Canal,40.71241882,-74.03852552,29275,Customer,1969,0
351,22:04.9,27:56.1,3195,Sip Ave,40.7308971,-74.06391263,3225,Baldwin at Montgomery,40.7236589,-74.0641943,29654,Subscriber,1962,1
220,24:01.1,27:41.4,3186,Grove St PATH,40.71958612,-74.04311746,3278,Monmouth and 6th,40.72568548,-74.04879034,29279,Subscriber,1978,1
517,24:13.6,32:51.4,3195,Sip Ave,40.7308971,-74.06391263,3193,Lincoln Park,40.7246051,-74.07840595,29612,Subscriber,1980,1
303,24:37.0,29:40.9,3186,Grove St PATH,40.71958612,-74.04311746,3278,Monmouth and 6th,40.72568548,-74.04879034,29454,Subscriber,1994,2
359,25:04.5,31:03.6,3206,Hilltop,40.7311689,-74.0575736,3207,Oakland Ave,40.7376037,-74.0524783,29634,Subscriber,1984,1
245,26:01.9,30:07.2,3202,Newport PATH,40.7272235,-74.0337589,3187,Warren St,40.7211236,-74.03805095,29490,Subscriber,1973,1
195,26:16.6,29:32.3,3186,Grove St PATH,40.71958612,-74.04311746,3481,York St,40.71649,-74.04105,26156,Subscriber,1970,1
498,26:55.3,35:14.2,3276,Marin Light Rail,40.71458404,-74.04281706,3270,Jersey & 6th St,40.72528911,-74.04557168,29456,Subscriber,1977,2
492,27:31.7,35:44.1,3184,Paulus Hook,40.7141454,-74.0335519,3202,Newport PATH,40.7272235,-74.0337589,29611,Subscriber,1971,2
133,27:37.4,29:50.5,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,29247,Subscriber,1993,1
370,27:57.5,34:08.3,3187,Warren St,40.7211236,-74.03805095,3270,Jersey & 6th St,40.72528911,-74.04557168,29125,Subscriber,1993,1
111,28:55.7,30:47.0,3211,Newark Ave,40.72152515,-74.04630454,3186,Grove St PATH,40.71958612,-74.04311746,29547,Subscriber,1995,1
438,29:49.5,37:07.5,3186,Grove St PATH,40.71958612,-74.04311746,3278,Monmouth and 6th,40.72568548,-74.04879034,26225,Subscriber,1981,1
316,30:08.1,35:24.2,3681,Grand St,40.71517768,-74.03768331,3275,Columbus Drive,40.7183552,-74.03891444,29496,Subscriber,1994,1
543,30:35.8,39:39.5,3185,City Hall,40.7177325,-74.043845,3268,Lafayette Park,40.71346383,-74.06285852,29664,Subscriber,1997,2
368,30:56.3,37:04.5,3269,Brunswick & 6th,40.72601173,-74.05038893,3213,Van Vorst Park,40.71848892,-74.04772663,29506,Subscriber,1993,2
739,32:12.4,44:31.6,3640,Journal Square,40.73367,-74.0625,3207,Oakland Ave,40.7376037,-74.0524783,29208,Subscriber,1989,1
113,32:28.4,34:22.1,3211,Newark Ave,40.72152515,-74.04630454,3270,Jersey & 6th St,40.72528911,-74.04557168,29301,Subscriber,1968,1
304,33:08.5,38:13.2,3186,Grove St PATH,40.71958612,-74.04311746,3681,Grand St,40.71517768,-74.03768331,29644,Subscriber,1982,1
